order_id,customer_id,order_date,order_value
1,861,2023-02-04,56.71
2,1295,2023-10-16,222.99
3,1131,2023-01-18,48.91
4,1096,2023-06-14,200.94
5,1639,2023-01-13,72.46
6,2170,2023-07-21,1050.11
7,467,2023-08-17,48.99
8,1239,2023-12-12,28.41
9,331,2023-01-01,36.37
10,1483,2023-11-15,150.65
11,2136,2023-08-05,52.66
12,2920,2023-02-03,1287.32
13,131,2023-12-25,262.27
14,1686,2023-09-23,54.73
15,770,2023-05-08,36.37
16,2392,2023-07-31,70.12
17,1516,2023-09-20,48.81
18,2854,2023-11-08,49.82
19,2434,2023-03-21,48.83
20,1216,2023-06-14,40.9
21,956,2023-09-09,1395.21
22,2325,2023-01-12,53.96
23,1185,2023-10-31,44.77
24,460,2023-07-31,41.56
25,22,2023-10-09,57.51
26,2301,2023-04-22,51.77
27,748,2023-07-30,44.55
28,2905,2023-08-27,52.89
29,475,2023-09-25,220.57
30,1083,2023-10-25,59.14
31,2559,2023-11-13,242.34
32,2048,2023-02-27,61.18
33,2748,2023-02-03,50.44
34,976,2023-09-20,68.46
35,1807,2023-12-31,59.35
36,190,2023-02-04,172.77
37,2735,2023-09-28,70.03
38,563,2023-08-15,52.01
39,1900,2023-01-25,39.45
40,1268,2023-08-22,62.46
41,2880,2023-02-28,57.15
42,1529,2023-09-08,46.2
43,647,2023-12-01,63.82
44,2069,2023-03-27,32.39
45,2889,2023-09-08,67.12
46,2215,2023-06-29,55.21
47,1298,2023-07-26,40.11
48,2436,2023-12-10,45.14
49,601,2023-05-29,58.75
50,2364,2023-03-12,223.86
51,2062,2023-05-01,176.91
52,242,2023-09-10,51.71
53,2042,2023-04-03,56.43
54,2825,2023-09-13,170.21
55,2613,2023-09-11,34.59
56,2946,2023-12-18,50.69
57,1364,2023-10-15,50.78
58,2140,2023-11-05,44.13
59,1391,2023-02-28,59.1
60,1479,2023-03-10,55.13
61,2557,2023-03-27,48.55
62,776,2023-10-01,1861.86
63,35,2023-08-15,61.65
64,2254,2023-03-22,40.56
65,1956,2023-04-24,50.21
66,1586,2023-07-03,51.04
67,1022,2023-10-07,43.93
68,2614,2023-11-18,54.41
69,1130,2023-11-14,66.84
70,1501,2023-02-23,165.3
71,703,2023-07-16,231.4
72,2450,2023-10-20,200.5
73,2778,2023-10-20,43.56
74,1580,2023-10-18,43.07
75,162,2023-06-29,48.95
76,202,2023-08-10,43.0
77,1982,2023-10-01,53.59
78,996,2023-09-01,57.42
79,2318,2023-06-03,33.83
80,816,2023-10-31,48.86
81,456,2023-09-30,36.01
82,1276,2023-05-15,54.03
83,1017,2023-11-09,50.35
84,2344,2023-01-08,67.42
85,2768,2023-05-08,60.22
86,338,2023-02-25,50.68
87,879,2023-05-06,203.4
88,1077,2023-06-08,52.82
89,792,2023-02-28,57.56
90,2265,2023-02-27,53.55
91,764,2023-05-20,50.34
92,2236,2023-06-25,44.0
93,380,2023-04-18,55.87
94,493,2023-07-30,49.05
95,1181,2023-03-15,37.86
96,2063,2023-06-16,38.0
97,65,2023-12-23,260.54
98,2569,2023-10-31,65.25
99,1368,2023-08-21,2099.98
100,1153,2023-11-23,49.73
101,2028,2023-07-01,46.07
102,2696,2023-05-02,56.73
103,1496,2023-11-30,36.54
104,1163,2023-07-22,49.75
105,1523,2023-01-29,43.86
106,2641,2023-07-21,2014.87
107,392,2023-04-03,45.92
108,1699,2023-11-25,47.79
109,419,2023-12-22,52.2
110,2337,2023-06-25,63.6
111,379,2023-11-26,59.39
112,1797,2023-07-30,1169.53
113,2279,2023-07-03,40.04
114,2089,2023-04-05,57.99
115,2183,2023-09-30,40.09
116,201,2023-05-17,1358.35
117,1864,2023-08-25,40.4
118,780,2023-12-19,244.18
119,2978,2023-09-22,54.49
120,503,2023-05-15,48.5
121,2455,2023-05-24,202.59
122,1752,2023-01-19,63.73
123,805,2023-08-19,49.95
124,2147,2023-05-14,63.64
125,2732,2023-04-24,64.17
126,1896,2023-05-19,47.04
127,2774,2023-05-05,67.78
128,1571,2023-07-23,44.03
129,961,2023-03-02,57.98
130,2661,2023-09-07,47.75
131,1486,2023-10-25,50.74
132,2691,2023-01-13,53.88
133,1029,2023-09-12,212.61
134,503,2023-03-26,59.62
135,2815,2023-01-20,62.34
136,398,2023-02-19,44.59
137,871,2023-06-13,41.71
138,2843,2023-04-02,58.33
139,393,2023-03-29,44.99
140,207,2023-03-10,48.47
141,1039,2023-02-06,56.44
142,1882,2023-09-10,52.01
143,2940,2023-09-09,43.87
144,1485,2023-05-20,55.3
145,864,2023-12-21,45.78
146,2791,2023-06-17,36.82
147,564,2023-02-23,41.39
148,1021,2023-06-27,43.42
149,96,2023-10-24,62.67
150,1924,2023-10-28,43.28
151,1758,2023-12-25,62.78
152,2533,2023-04-16,47.08
153,2279,2023-05-17,212.37
154,2797,2023-07-09,43.24
155,1679,2023-05-08,50.51
156,541,2023-12-08,233.87
157,1060,2023-02-16,240.3
158,2573,2023-01-05,49.45
159,1184,2023-09-14,202.69
160,1723,2023-10-27,1620.11
161,1820,2023-05-30,47.32
162,2626,2023-10-21,52.67
163,2730,2023-08-31,57.54
164,2605,2023-10-02,16.64
165,1598,2023-07-27,156.83
166,2694,2023-04-25,29.84
167,796,2023-07-14,48.27
168,1052,2023-12-09,43.1
169,1644,2023-06-19,54.89
170,1364,2023-03-23,55.14
171,1982,2023-06-03,63.19
172,1355,2023-05-21,213.2
173,1664,2023-11-10,38.72
174,1530,2023-05-26,56.67
175,2039,2023-11-19,42.64
176,1497,2023-05-02,43.33
177,2238,2023-09-09,33.87
178,1409,2023-12-09,45.26
179,1401,2023-11-07,43.03
180,1307,2023-03-30,38.65
181,2681,2023-02-27,60.99
182,2676,2023-03-04,53.95
183,973,2023-12-13,39.45
184,1769,2023-11-04,43.55
185,1283,2023-10-07,40.44
